,positive,negative,neutral,compound
2018-04-05,0.06,0.04,0.9,0.19
2018-04-06,0.0,0.0,1.0,0.0
2018-04-07,0.17,0.03,0.8,0.45
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,0.0,0.0,1.0,0.0
2018-04-11,0.33,0.11,0.56,0.81
2018-04-12,0.17,0.0,0.83,0.46
2018-04-13,0.06,0.15,0.79,-0.59
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,,,
2018-04-17,0.15,0.0,0.85,0.43
2018-04-18,0.05,0.1,0.85,-0.36
2018-04-19,0.05,0.0,0.95,0.21
2018-04-20,0.0,0.17,0.83,-0.31
2018-04-21,,,,
2018-04-22,0.21,0.0,0.79,0.83
2018-04-23,,,,
2018-04-24,0.0,0.0,1.0,0.0
2018-04-25,,,,
2018-04-26,0.0,0.0,1.0,0.0
2018-04-27,,,,
2018-04-28,,,,
2018-04-29,0.05,0.0,0.95,0.03
2018-04-30,,,,
2018-05-01,,,,
2018-05-02,0.12,0.0,0.88,0.28
2018-05-03,0.14,0.0,0.86,0.71
2018-05-04,,,,
2018-05-05,0.14,0.0,0.86,0.71
2018-05-06,,,,
2018-05-07,0.08,0.06,0.86,0.23
2018-05-08,,,,
2018-05-09,,,,
2018-05-10,0.0,0.06,0.94,-0.38
2018-05-11,,,,
2018-05-12,0.08,0.0,0.92,0.4
2018-05-13,,,,
2018-05-14,0.0,0.0,1.0,0.0
2018-05-15,,,,
2018-05-16,0.15,0.02,0.84,0.28
2018-05-17,0.0,0.0,1.0,0.0
2018-05-18,0.08,0.0,0.92,0.3
2018-05-19,0.06,0.05,0.89,0.09
2018-05-20,0.0,0.0,1.0,0.0
2018-05-21,0.11,0.0,0.89,0.29
2018-05-22,0.07,0.12,0.81,-0.21
2018-05-23,0.11,0.08,0.81,0.24
2018-05-24,,,,
2018-05-25,0.0,0.0,1.0,0.0
2018-05-26,,,,
2018-05-27,0.0,0.0,1.0,0.0
2018-05-28,,,,
2018-05-29,0.18,0.0,0.82,0.79
2018-05-30,,,,
2018-05-31,0.11,0.0,0.89,0.44
2018-06-01,,,,
2018-06-02,0.0,0.0,1.0,0.0
2018-06-03,0.08,0.07,0.85,0.13
2018-06-04,0.05,0.05,0.9,0.08
2018-06-05,,,,
2018-06-06,0.07,0.0,0.93,0.25
2018-06-07,0.19,0.0,0.81,0.48
2018-06-08,0.38,0.0,0.62,0.97
2018-06-09,0.16,0.09,0.75,0.4
2018-06-10,0.0,0.0,1.0,0.0
2018-06-11,,,,
2018-06-12,0.35,0.0,0.65,0.72
2018-06-13,0.06,0.07,0.88,-0.02
2018-06-14,,,,
2018-06-15,0.0,0.0,1.0,0.0
2018-06-16,0.07,0.1,0.84,0.07
2018-06-17,0.06,0.0,0.94,0.39
2018-06-18,0.15,0.05,0.8,0.39
2018-06-19,0.16,0.0,0.84,0.5
2018-06-20,0.1,0.07,0.83,0.14
2018-06-21,0.02,0.06,0.92,-0.05
2018-06-22,0.17,0.0,0.83,0.65
2018-06-23,,,,
2018-06-24,0.0,0.07,0.93,-0.13
2018-06-25,0.0,0.08,0.92,-0.13
2018-06-26,0.0,0.0,1.0,0.0
2018-06-27,0.1,0.0,0.9,0.33
2018-06-28,0.13,0.0,0.87,0.67
2018-06-29,0.03,0.23,0.74,-0.83
2018-06-30,0.07,0.03,0.9,0.13
2018-07-01,,,,
2018-07-02,0.05,0.13,0.82,-0.66
2018-07-03,0.02,0.0,0.98,0.12
2018-07-04,0.06,0.0,0.94,0.39
2018-07-05,,,,
2018-07-06,,,,
2018-07-07,,,,
2018-07-08,0.38,0.0,0.62,0.97
2018-07-09,0.13,0.1,0.77,0.08
2018-07-10,0.06,0.0,0.94,0.39
2018-07-11,,,,
2018-07-12,0.07,0.0,0.93,0.28
2018-07-13,0.23,0.05,0.72,0.83
2018-07-14,0.23,0.05,0.72,0.83
2018-07-15,0.23,0.05,0.72,0.83
2018-07-16,0.12,0.02,0.86,0.38
2018-07-17,0.09,0.07,0.84,0.18
2018-07-18,,,,
2018-07-19,0.06,0.03,0.92,-0.02
2018-07-20,,,,
2018-07-21,,,,
2018-07-22,0.0,0.0,1.0,0.0
2018-07-23,0.0,0.0,1.0,0.0
2018-07-24,,,,
2018-07-25,0.22,0.12,0.66,0.64
2018-07-26,0.15,0.22,0.63,-0.41
2018-07-27,,,,
2018-07-28,,,,
2018-07-29,0.07,0.0,0.93,0.4
2018-07-30,,,,
2018-07-31,,,,
2018-08-01,0.08,0.0,0.92,0.33
2018-08-02,0.0,0.0,1.0,0.0
2018-08-03,0.29,0.0,0.71,0.78
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,0.13,0.05,0.82,0.59
2018-08-07,0.26,0.0,0.74,0.95
2018-08-08,0.38,0.0,0.62,0.97
2018-08-09,,,,
2018-08-10,,,,
2018-08-11,0.04,0.09,0.86,-0.1
2018-08-12,0.2,0.0,0.8,0.84
2018-08-13,0.11,0.02,0.86,0.49
2018-08-14,0.09,0.04,0.87,0.1
2018-08-15,0.09,0.0,0.91,0.08
2018-08-16,,,,
2018-08-17,0.21,0.0,0.79,0.78
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,0.11,0.0,0.89,0.58
2018-08-21,0.08,0.05,0.88,0.04
2018-08-22,0.0,0.22,0.78,-0.68
2018-08-23,0.22,0.0,0.78,0.45
2018-08-24,0.0,0.12,0.88,-0.3
2018-08-25,0.17,0.0,0.83,0.79
2018-08-26,,,,
2018-08-27,0.0,0.02,0.98,-0.13
2018-08-28,,,,
2018-08-29,0.0,0.0,1.0,0.0
2018-08-30,0.1,0.12,0.78,-0.04
2018-08-31,,,,
2018-09-01,0.03,0.23,0.74,-0.83
2018-09-02,0.14,0.12,0.74,0.21
2018-09-03,0.16,0.0,0.84,0.57
2018-09-04,0.23,0.05,0.72,0.83
2018-09-05,0.12,0.2,0.68,-0.7
2018-09-06,0.0,0.36,0.64,-0.63
2018-09-07,0.26,0.0,0.74,0.95
2018-09-08,0.16,0.08,0.76,0.33
2018-09-09,,,,
2018-09-10,0.23,0.05,0.72,0.83
2018-09-11,,,,
2018-09-12,,,,
2018-09-13,,,,
2018-09-14,0.0,0.0,1.0,0.0
2018-09-15,,,,
2018-09-16,0.06,0.21,0.73,-0.02
2018-09-17,0.0,0.36,0.64,-0.63
2018-09-18,0.0,0.2,0.8,-0.36
2018-09-19,0.18,0.0,0.82,0.79
2018-09-20,0.0,0.0,1.0,0.0
2018-09-21,,,,
2018-09-22,0.06,0.04,0.9,0.19
2018-09-23,,,,
2018-09-24,0.07,0.03,0.9,0.17
2018-09-25,0.08,0.03,0.89,0.15
2018-09-26,0.0,0.22,0.78,-0.68
2018-09-27,0.22,0.0,0.78,0.45
2018-09-28,0.0,0.12,0.88,-0.3
2018-09-29,0.08,0.0,0.92,0.39
2018-09-30,,,,
2018-10-01,0.0,0.13,0.87,-0.49
2018-10-02,,,,
2018-10-03,0.17,0.06,0.77,0.66
2018-10-04,0.03,0.04,0.93,-0.05
2018-10-05,0.2,0.0,0.8,0.5
2018-10-06,,,,
2018-10-07,0.26,0.0,0.74,0.95
2018-10-08,,,,
2018-10-09,,,,
2018-10-10,0.23,0.05,0.72,0.83
2018-10-11,,,,
2018-10-12,0.0,0.0,1.0,0.0
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,0.1,0.0,0.9,0.56
2018-10-16,0.04,0.15,0.81,-0.14
2018-10-17,0.16,0.0,0.84,0.71
2018-10-18,0.14,0.0,0.86,0.49
2018-10-19,0.08,0.07,0.85,0.05
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,,,
2018-10-23,0.08,0.02,0.9,0.14
2018-10-24,,,,
2018-10-25,,,,
2018-10-26,,,,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,0.26,0.0,0.74,0.95
2018-10-30,,,,
2018-10-31,0.13,0.06,0.81,0.37
2018-11-01,,,,
2018-11-02,0.0,0.0,1.0,0.0
2018-11-03,,,,
2018-11-04,0.22,0.0,0.78,0.88
2018-11-05,0.08,0.0,0.92,0.4
2018-11-06,0.0,0.1,0.9,-0.18
2018-11-07,0.26,0.0,0.74,0.95
2018-11-08,,,,
2018-11-09,0.0,0.07,0.93,-0.13
2018-11-10,0.15,0.03,0.81,0.55
2018-11-11,0.08,0.05,0.87,0.15
2018-11-12,0.0,0.0,1.0,0.0
2018-11-13,0.12,0.06,0.82,0.29
2018-11-14,0.08,0.05,0.87,0.15
2018-11-15,0.1,0.07,0.83,0.27
2018-11-16,0.0,0.0,1.0,0.0
2018-11-17,0.38,0.0,0.62,0.97
2018-11-18,0.03,0.12,0.86,-0.31
2018-11-19,,,,
2018-11-20,0.06,0.04,0.9,0.13
2018-11-21,0.04,0.11,0.85,-0.14
2018-11-22,0.09,0.02,0.9,0.3
2018-11-23,,,,
2018-11-24,0.0,0.0,1.0,0.0
2018-11-25,0.12,0.0,0.88,0.28
2018-11-26,0.0,0.0,1.0,0.0
2018-11-27,0.02,0.04,0.94,-0.22
2018-11-28,0.14,0.12,0.74,0.21
2018-11-29,0.16,0.1,0.74,-0.1
2018-11-30,,,,
2018-12-01,0.22,0.0,0.78,0.59
2018-12-02,0.11,0.01,0.88,0.3
2018-12-03,,,,
2018-12-04,,,,
2018-12-05,0.0,0.19,0.81,-0.6
2018-12-06,,,,
2018-12-07,0.26,0.0,0.74,0.95
2018-12-08,0.25,0.0,0.75,0.6
2018-12-09,0.0,0.04,0.96,-0.06
2018-12-10,0.06,0.07,0.87,-0.1
2018-12-11,0.12,0.03,0.85,0.38
2018-12-12,0.1,0.0,0.9,0.32
2018-12-13,,,,
2018-12-14,,,,
2018-12-15,,,,
2018-12-16,0.06,0.15,0.79,-0.59
2018-12-17,0.15,0.0,0.85,0.43
2018-12-18,0.17,0.06,0.77,0.66
2018-12-19,,,,
2018-12-20,0.0,0.0,1.0,0.0
2018-12-21,0.05,0.03,0.92,0.06
2018-12-22,,,,
2018-12-23,0.18,0.0,0.82,0.68
2018-12-24,0.1,0.0,0.9,0.33
2018-12-25,,,,
2018-12-26,0.08,0.12,0.81,-0.08
2018-12-27,0.0,0.13,0.87,-0.49
2018-12-28,0.12,0.0,0.88,0.35
2018-12-29,0.11,0.0,0.89,0.56
2018-12-30,,,,
2018-12-31,,,,
